Date,Open,High,Low,Close,Adj Close,Volume
1977-02-28,4.434608459,4.434608459,4.422045708,4.434608459,2.07363677,140200
1977-03-01,4.434608459,4.560234547,4.434608459,4.560234547,2.132378578,340200
1977-03-02,4.560234547,4.597922802,4.547672272,4.560234547,2.132378578,327300
1977-03-03,4.572797298,4.748674393,4.572797298,4.723548889,2.208744764,267600
1977-03-04,4.723548889,4.736111641,4.685861111,4.736111641,2.214618921,217800
1977-03-07,4.748674393,4.798924923,4.748674393,4.798924923,2.243990421,143200
1977-03-08,4.798924923,4.798924923,4.723548889,4.736111641,2.214618921,295500
1977-03-09,4.698423862,4.698423862,4.623047829,4.63561058,2.167624712,114400
1977-03-10,4.63561058,4.673298359,4.560234547,4.673298359,2.185246468,264600
1977-03-11,4.673298359,4.698423862,4.660735607,4.660735607,2.179373264,92500
1977-03-14,4.673298359,4.798924923,4.673298359,4.773799419,2.232242346,175100
1977-03-15,4.798924923,4.87430048,4.798924923,4.836612701,2.261614799,298500
1977-03-16,4.836612701,4.886863232,4.836612701,4.87430048,2.279236078,240700
1977-03-17,4.87430048,4.949676514,4.861737728,4.92455101,2.30273509,266600
1977-03-18,4.92455101,4.97480154,4.92455101,4.92455101,2.30273509,200900
1977-03-21,4.92455101,4.937113762,4.849175453,4.861737728,2.273362398,324300
1977-03-22,4.861737728,4.87430048,4.798924923,4.87430048,2.289176702,175100
1977-03-23,4.87430048,4.87430048,4.698423862,4.710986137,2.21247673,193000
1977-03-24,4.710986137,4.773799419,4.623047829,4.648173332,2.182977438,309400
1977-03-25,4.648173332,4.648173332,4.597922802,4.623047829,2.171177387,163100
1977-03-28,4.610485077,4.610485077,4.572797298,4.58536005,2.15347743,188000
1977-03-29,4.58536005,4.648173332,4.58536005,4.58536005,2.15347743,239700
1977-03-30,4.58536005,4.660735607,4.58536005,4.58536005,2.15347743,210900
1977-03-31,4.58536005,4.648173332,4.58536005,4.623047829,2.171177387,67600
1977-04-01,4.623047829,4.673298359,4.597922802,4.673298359,2.194777966,163100
1977-04-04,4.673298359,4.698423862,4.597922802,4.597922802,2.159377575,119300
1977-04-05,4.597922802,4.623047829,4.58536005,4.623047829,2.171177387,130300
1977-04-06,4.623047829,4.623047829,4.58536005,4.58536005,2.15347743,171100
1977-04-07,4.58536005,4.597922802,4.572797298,4.572797298,2.147579432,92500
1977-04-11,4.572797298,4.58536005,4.522546768,4.522546768,2.123978138,433800
1977-04-12,4.522546768,4.522546768,4.472296238,4.48485899,2.106277943,153200
1977-04-13,4.48485899,4.497421741,4.472296238,4.497421741,2.112178326,90500
1977-04-14,4.522546768,4.648173332,4.522546768,4.63561058,2.177078009,573100
1977-04-15,4.63561058,4.648173332,4.610485077,4.63561058,2.177078009,115300
1977-04-18,4.63561058,4.63561058,4.58536005,4.63561058,2.177078009,140200
1977-04-19,4.623047829,4.623047829,4.522546768,4.522546768,2.123978138,121300
1977-04-20,4.522546768,4.572797298,4.48485899,4.509984016,2.118078709,364100
1977-04-21,4.509984016,4.509984016,4.384357929,4.396920681,2.064979076,152200
1977-04-22,4.396920681,4.396920681,4.221043587,4.24616909,1.994178414,239700
1977-04-25,4.258731842,4.334107399,4.258731842,4.283856869,2.011879683,167100
1977-04-26,4.283856869,4.308982372,4.24616909,4.24616909,1.994178414,121300
1977-04-27,4.24616909,4.371795177,4.24616909,4.371795177,2.053179979,214900
1977-04-28,4.371795177,4.384357929,4.321544647,4.321544647,2.029581785,329300
1977-04-29,4.321544647,4.371795177,4.321544647,4.359232903,2.047278404,107400
1977-05-02,4.359232903,4.396920681,4.346670151,4.396920681,2.064979076,205900
1977-05-03,4.396920681,4.396920681,4.334107399,4.334107399,2.035480261,420800
1977-05-04,4.334107399,4.409483433,4.321544647,4.359232903,2.047278404,1386000
1977-05-05,4.359232903,4.447171211,4.359232903,4.447171211,2.088579416,394000
1977-05-06,4.447171211,4.447171211,4.409483433,4.422045708,2.076779842,205900
1977-05-09,4.422045708,4.472296238,4.422045708,4.472296238,2.100379229,219800
1977-05-10,4.459733486,4.459733486,4.409483433,4.409483433,2.070878267,214900
1977-05-11,4.409483433,4.459733486,4.396920681,4.396920681,2.064979076,313400
1977-05-12,4.346670151,4.346670151,4.296419621,4.334107399,2.035480261,744200
1977-05-13,4.346670151,4.396920681,4.346670151,4.396920681,2.064979076,184000
1977-05-16,4.396920681,4.422045708,4.346670151,4.409483433,2.070878267,121300
1977-05-17,4.409483433,4.409483433,4.346670151,4.371795177,2.053179979,285500
1977-05-18,4.371795177,4.409483433,4.359232903,4.409483433,2.070878267,473600
1977-05-19,4.409483433,4.409483433,4.308982372,4.346670151,2.04137969,178100
1977-05-20,4.346670151,4.371795177,4.321544647,4.321544647,2.029581785,74600
1977-05-23,4.321544647,4.321544647,4.271294117,4.283856869,2.011879683,241700
1977-05-24,4.283856869,4.283856869,4.221043587,4.24616909,1.994178414,221800
1977-05-25,4.233606339,4.233606339,4.057729721,4.070291996,1.911580205,680500
1977-05-26,4.045166969,4.045166969,3.957228422,3.982353687,1.870281458,795900
1977-05-27,3.969791174,3.969791174,3.844164848,3.844164848,1.805381536,341200
1977-05-31,3.819039583,3.819039583,3.643162727,3.668287992,1.722782254,309400
1977-06-01,3.668287992,3.793914318,3.668287992,3.793914318,1.78178215,876500
1977-06-02,3.793914318,3.844164848,3.743663788,3.781351805,1.775881529,378000
1977-06-03,3.793914318,3.894415379,3.793914318,3.869290113,1.817181706,504400
1977-06-06,3.869290113,3.906977892,3.793914318,3.793914318,1.78178215,355200
1977-06-07,3.793914318,3.80647707,3.743663788,3.781351805,1.775881529,689500
1977-06-08,3.80647707,3.869290113,3.80647707,3.844164848,1.805381536,470600
1977-06-09,3.844164848,3.906977892,3.831602097,3.881852627,1.823081136,416800
1977-06-10,3.881852627,3.969791174,3.881852627,3.969791174,1.864382029,426800
1977-06-13,3.994916439,4.070291996,3.994916439,4.045166969,1.899781227,412900
1977-06-14,4.070291996,4.170793056,4.070291996,4.170793056,1.958779693,438700
1977-06-15,4.170793056,4.19591856,4.107980251,4.14566803,1.946981311,265600
1977-06-16,4.14566803,4.233606339,4.133105278,4.183355808,1.96468091,463600
1977-06-17,4.19591856,4.24616909,4.19591856,4.19591856,1.970579863,324300
1977-06-20,4.19591856,4.19591856,4.082854748,4.158230782,1.952880263,234800
1977-06-21,4.158230782,4.19591856,4.120542526,4.14566803,1.946981311,554200
1977-06-22,4.14566803,4.158230782,4.120542526,4.133105278,1.941080213,225800
1977-06-23,4.133105278,4.208481312,4.133105278,4.14566803,1.946981311,415900
1977-06-24,4.14566803,4.14566803,4.082854748,4.0954175,1.923380017,714400
1977-06-27,4.0954175,4.133105278,4.070291996,4.120542526,1.935180664,168100
1977-06-28,4.120542526,4.133105278,4.070291996,4.070291996,1.921425939,273600
1977-06-29,4.057729721,4.057729721,3.994916439,4.020041466,1.89770329,336300
1977-06-30,4.020041466,4.045166969,3.969791174,4.020041466,1.89770329,450700
1977-07-01,4.020041466,4.057729721,4.020041466,4.057729721,1.915493965,197900
1977-07-05,4.057729721,4.107980251,4.045166969,4.045166969,1.909562945,220800
1977-07-06,4.045166969,4.045166969,4.007479191,4.020041466,1.89770329,458700
1977-07-07,4.020041466,4.020041466,3.944665909,4.007479191,1.891773224,309400
1977-07-08,4.007479191,4.057729721,4.007479191,4.020041466,1.89770329,352200
1977-07-11,4.020041466,4.045166969,4.020041466,4.045166969,1.909562945,275500
1977-07-12,4.045166969,4.045166969,4.007479191,4.007479191,1.891773224,472600
1977-07-13,4.007479191,4.045166969,3.982353687,4.020041466,1.89770329,381000
1977-07-15,4.020041466,4.133105278,4.007479191,4.133105278,1.951076865,872600
1977-07-18,4.158230782,4.321544647,4.158230782,4.321544647,2.040031433,610900
1977-07-19,4.359232903,4.472296238,4.359232903,4.396920681,2.075612545,978000
1977-07-20,4.371795177,4.371795177,4.233606339,4.271294117,2.016309738,353200
1977-07-21,4.283856869,4.346670151,4.283856869,4.346670151,2.05189085,515300
1977-07-22,4.359232903,4.384357929,4.359232903,4.359232903,2.057820797,89500
1977-07-25,4.359232903,4.384357929,4.346670151,4.371795177,2.063752413,197000
1977-07-26,4.359232903,4.359232903,4.271294117,4.321544647,2.040031433,159100
1977-07-27,4.296419621,4.296419621,4.19591856,4.258731842,2.010379076,210900
1977-07-28,4.271294117,4.321544647,4.271294117,4.321544647,2.040031433,87500
